timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743258035.501663|3461344040|573698|b'\xb17\xb6\x80\xa9\x8b\xf8\xda\xcb\xbfM.\xedr;\x14'|b'\xb6\xe0\xcd\x01\x9d\xc7j\x0ehfL~'|246|42|204|52|112|164|10|26|164
1743258035.542296|3224334942|837778|b't\x973*{\xbf\xb8\xf7Z\xb2\xa9wdl^\xf0'|"b'\xb3\xe9\x92+\xd3\x95\xe7x\xf7""G)'"|134|42|92|52|0|52|10|27|52
1743258035.614704|3224334942|837779|b'G3E\xfaXU\xd0/\xc7\xcd\xf3\xb3\xe5\x1fq\xdd'|b'x\xe0\x0c\xa1\x9b\x8d\x06\xcbE\xf3\xd8\t'|758|42|716|52|628|680|6|28|680
1743258035.655072|3461344040|573699|b'\xa1\x96\x19\xee`\x8f1 \x02\xfc\xb0yb\xc6\xb89'|b'\xab\xf7\xb6\xc2,\xe6\xb7G$6TB'|134|42|92|52|0|52|10|29|52
1743258035.655551|3224334942|837780|b'. \xad_\xb4@\xe8\xcd\xd1+\xd2\xcd\x98Y+\xbc'|b'q\x8b1\xc9\xe3\xd4\x92k(8^S'|182|42|140|52|44|96|14|30|96
1743258035.655628|3461344040|573700|b'~{\x14C8Q\x85\xe6nd\x1d\x88\x98\xfe\x9c3'|"b'_\xd2""\xf9U\x8f\x07\xed\x1c\xe2\x8d\x9a'"|134|42|92|52|0|52|10|31|52
1743258035.655870|3461344040|573701|b'?R\xc8\x96\xf1\xc7$\xdc\xd4\xdaT\x81\xc3x\xa9\xf2'|b'\x10\xa7\xa8\x12\xdc\xbc1\xe8\xb1\x16p\x80'|246|42|204|52|120|172|2|32|172
1743258035.656137|3224334942|837781|b'\xc3Px\x01H\xf7\xa3\xfb\x97\xf6T\xa2\x04s\xfa\xd3'|b'\xd1\xb6\xe5\x98\x8e\xbd\x0cI/\x18\xfab'|134|42|92|52|0|52|10|33|52
1743258035.657131|3224334942|837782|b',\xea_a\x99\x12\x9a\x92\x06FL\xe5\x94n\x1d\x81'|"b'\x00\xfe4|\x13\x83\x1c\xbbc^\xa4\xd7'"|198|42|156|52|72|124|2|34|124
1743258035.657508|3461344040|573702|b'\x8f5A\x82\xbd+Sd\xb6\xb0f?]\\C\xf4'|"b'B\x0b\xf0\x97\xa8M\xe7\xb3\xf5C\x0b|'"|182|42|140|52|44|96|14|35|96
1743258035.662766|3224334942|837783|b'tC \xf2\x926\xb7\xfa\xcer8\x86\x82\x1e\x1e\r'|b'\xeb#\x15R\xaf\xb0\x9fG\x00^\xb86'|486|42|444|52|356|408|6|36|408
1743258035.663506|3461344040|573703|b'\xe2\xa7\x11i\x14O\xf5!\xbbx\xe2\xda:4\x8ay'|"b'\xa6$\x0c\xb9\xa5(\x14""\x13\x13Y\xe3'"|198|42|156|52|68|120|6|37|120
1743258035.664230|3224334942|837784|b'\x8dO\x1c \x81o\x88\xeb-\xfc\xb0F?2\x1c\x98'|b'I\xbbD\x03[pnv\x14\x89;\x89'|214|42|172|52|76|128|14|38|128
1743258035.664550|3461344040|573704|"b'w\x15\x81\x1bZ\x16T;!O\x1a""\x0b\x11\x80)'"|b'\xa7\xa0nm\xff\xec\xb5\xe1\xcb\xbb\xaa\x01'|198|42|156|52|68|120|6|39|120
1743258035.665159|3224334942|837785|b'U\xf826\xbc\x80\xcd\xbbq\xc2hF\xca(\xecK'|b'\x06\x05\xa7\x8e\x9ccw-\xa2\x1d\x07e'|214|42|172|52|76|128|14|40|128
1743258035.665458|3461344040|573705|b'\xa4\xb6\xa0%(\xa7=D\x86\xc1\xc5\xb5]A\x1f\xba'|b'\xce0\xc5\xde\x97\xdfe\x13~:\xa3<'|230|42|188|52|92|144|14|41|144
1743258035.665917|3224334942|837786|"b'\x01\xff\xc7\x1d\x91\x1fj\xcd\xf4\xf0E1\x1a\x87""u'"|b'\xf0\xbd\x07\x85\x15\xc2 $\xa3q\x83?'|182|42|140|52|52|104|6|42|104
1743258035.666786|3461344040|573706|"b""\xb0Q\xa5\xe27\x85\x99\xb3\xf8\x9d\xb3\n\xe3\x9b'\xb2"""|"b'\xec#\xd4""\xaa\xd5\xd5\x03Q\x9cyQ'"|1510|42|1468|52|1386|1438|0|43|1438
1743258035.666845|3461344040|573707|b'\x87\xf4\x10\x9d\xfa\xf8\xc6G9\xdd\xcdX\t\xad\xb1\xa1'|b'[3\xae\xd2:=\xdd\x93\xb3\xd6\xc1\xcf'|1510|42|1468|52|1386|1438|0|44|1438
1743258035.666905|3461344040|573708|"b'\x93\x15l\xbb|M\x1f-\xc2\x1e\xad?\x977o\xa8'"|"b'\xc4;\xef\x94\xba|\xc9g\x9b\xe1v\xe2'"|1510|42|1468|52|1386|1438|0|45|1438
1743258035.666960|3461344040|573709|"b'~\xb2\xc8\xfb\xe4\x1f\xb3\xe1\xf9\xb8\xd9N""\xcd\xc3\x04'"|b'\x0e\xe6\x08\xfe\x9fh\x98\x1d\x15\x0c\xdd\xcc'|1510|42|1468|52|1386|1438|0|46|1438
1743258035.666999|3461344040|573710|b'U\x8c<\xd2\x8e\xc7J\xaeT\xea\xb2Q\xed<,!'|b'?Y\xfeK\x92g\xac\xc1t\xd3F\xba'|1510|42|1468|52|1386|1438|0|47|1438
1743258035.667017|3461344040|573711|b'\xea\xfe\xbd\x11\xe0\x1b\xc1\xc4\x7f\x05\x03\x9fL+M\xe5'|b'\x9e\xe1\xfa\xd8\x8e\xa4x\xf8\xd9(\xb1\x05'|1510|42|1468|52|1386|1438|0|48|1438
1743258035.667060|3461344040|573712|b'xk%&\r[>-\xfb]}\xcb<\xa9l '|b'\xd7\xebD\xcc\x86\x0b?A\xe3wyQ'|1510|42|1468|52|1386|1438|0|49|1438
1743258035.667213|3461344040|573713|b'\xd6;\xb3\xb2i\xa2B\xd0\x8315\x02\xbd\xe4#z'|b'\xf0\x1cR\xe7\xeec\x1b\xff\x0fQ\xa7U'|1510|42|1468|52|1386|1438|0|50|1438
1743258035.667272|3461344040|573714|"b""(J1L\x1c}\x0e\x1d\x1f\x91\xd3\xb8B\x1b'\xca"""|b'\xf9_-\xdcMQ>\xcf\xb2\x1eP\xcd'|1510|42|1468|52|1386|1438|0|51|1438
1743258035.667327|3461344040|573715|b'\xf5\x1a\\o\xb8\x86\x9ev\xa3f\x19\x8eu\x96aW'|b'9\xaaI\xff4\xc63\xecg\x82\xf7\xda'|1510|42|1468|52|1386|1438|0|52|1438
1743258035.667484|3224334942|837787|"b""\x1bc\xf9\x93\x92V\xb9\xd2\xdf?\xda'3a\xf4\x83"""|b'a\n\x17\x98m\xa0\x02\x8b$\x87\xc7T'|134|42|92|52|0|52|10|53|52
1743258035.667528|3461344040|573716|b'\xb3\x00\xae\xa0\x15\xf0\xd1\xabE\x12d\x938\xb9\xd3\xd2'|"b'K\xc1\xd6C^""\xbava-l\xd8'"|1510|42|1468|52|1386|1438|0|54|1438
1743258035.667587|3461344040|573717|b'\x168\xe3\xddZ)\x9f\xab\x1b\xa9NS\x03\x1f\xd2\xf2'|b'H\xe5m\xb4\x929\x91\x86\xb1\x8bk\xaa'|1510|42|1468|52|1386|1438|0|55|1438
1743258035.667606|3461344040|573718|b'\x8f\xe8N\t~\xf8-<\x9c\xe6\xd3\xe9\xa8,\xf6\xd4'|b'\xee\xd9\xf8\xd4,f\x02?G\xd1\x9f\xe0'|1510|42|1468|52|1386|1438|0|56|1438
1743258035.667666|3461344040|573719|b'\xd4{l\xfd\x96\x82\xea\x06?v\xed\xa9\xff\xaa?x'|b'\xeaS\x07\x0e\x86\x0b\x17\xa6\xc9\xa7\xff&'|1510|42|1468|52|1386|1438|0|57|1438
1743258035.667828|3224334942|837788|b'Z\x14\xfcF\xd8g\x84\xd2a\xed&\xef\xe8\xb6o\xbf'|b'\xf6\xe2\x8bg/l-\xc0;\xccD]'|134|42|92|52|0|52|10|58|52
1743258035.667869|3461344040|573720|b'\xd21\xcd\xc1\x97?\xab\x0c1\xc3\x93\xad\x19Pu\xac'|b'\\\x83\xf4\x88\x8f#\x98m*38\x06'|1510|42|1468|52|1386|1438|0|59|1438
1743258035.667930|3461344040|573721|b'\x0e\xf4-0\xc5\xac\xae\x10\xec\x87jk\xd9\xe3\xc6 '|b'\xebU\xf5\xe6\xa4\xa7Xp\x89\x8a\x9eh'|1510|42|1468|52|1386|1438|0|60|1438
1743258035.667948|3461344040|573722|b'F<\xe9+aB{W9!E\xc7\x8a\xa4\x97\xb3'|b'P#GX(\xed\x95{\xa8\x85\xf68'|1510|42|1468|52|1386|1438|0|61|1438
1743258035.667962|3461344040|573723|b'7`)\x04\xd0jP~\x9eRIN\xb2\x8dK@'|b'\x91*\x97\x11\xa3\x02\xa2\x02\xbeeW2'|1510|42|1468|52|1386|1438|0|62|1438
1743258035.668739|3224334942|837789|b'J\xe7\xeeN\xcdm\x94\tu\xa6\xcde\xad\xa3{\xc2'|b'+\xd3N\xde7@\xe7\xaf\x0eI\x01\xf8'|134|42|92|52|0|52|10|63|52
1743258035.668837|3461344040|573724|b'\xdc\x1b\xb1\xe7\x9b\xac_\xa6g=M\xc8\xd2\x8b\x0f\x1c'|b'\xc0\xc4-f\xa8&\x11^\\f\x02\x05'|1510|42|1468|52|1386|1438|0|64|1438
