timestamp|spi|sequence_number|initialization_vector|integrity_check_value|encrypted_total_length|encrypted_head_length|encrypted_data_length|plaintext_header_length|plaintext_data_length|plaintext_total_length|padding_length|complete_id|total_length
1743262327.394388|3461344040|2744905|b'3\xff\xba\xf4;\x10\x0f\xea\x19\x12\xa3\\!\x08\x87\xac'|b'\x10\xc7\x00\x05\x18\xe3\x8a\xbf\\\xb8\x8f\xf1'|358|42|316|52|224|276|10|2423|276
1743262327.395974|3224334942|1596456|b'-B\x00\xe8\xf3\xe3y\x0e.\xfe\x81\xb2\xce+\xe0\x93'|b'\xeb.l\xcf\xcd!\xdc1\xf7\xe6\xeaF'|374|42|332|52|246|298|4|2424|298
1743262327.406953|3461344040|2744906|b'\x81\xa7,\xd1y\xf4\xa4\xbdEL\x05X\xdb`\x12\x97'|b'\xf9\xd1\xf1/\xde\x8c\x8f\xe7\x97\x93#s'|1510|42|1468|52|1386|1438|0|2425|1438
1743262327.407134|3461344040|2744907|b'\x11k\xa4\xf0!\xbf\xe2nQ\xc1\xa1T\xbe\xfe\x9fM'|"b""\n\xb2\xe1e\r't\x11\x00y\xdf\xe2"""|1462|42|1420|52|1336|1388|2|2426|1388
1743262327.407629|3224334942|1596457|b'ru?\xe9\xdc(\xa0k\xc6\xe9\xf7h\r\r1\x1f'|b'_\xf7\xdd\x1a\xeb\xf6\xd5N\xb7R\xfe*'|134|42|92|52|0|52|10|2427|52
1743262327.408718|3224334942|1596458|"b""\xb3\x83\xa9\xbb]z\x9a\x03\xfeO'\xb9\xac|\xc7\xef"""|b'\x07l\x06\n\xc6\xb0&a;Q\xad\x87'|1510|42|1468|52|1386|1438|0|2428|1438
1743262327.408718|3224334942|1596459|b'\xf2\xeaL\xae\x05G\xe6\xecf\x9d\x19\xb4\x08\xd3\x94\xd5'|b'\xfd\x0b\xef\xa5\x1f0j\x0b\xdaQ\x14\xf7'|1510|42|1468|52|1386|1438|0|2429|1438
1743262327.408811|3224334942|1596460|b'\xfe\xf3\x0f\xad\xa5.\xb7\xeb~.\xcdX\x1by\x90\xa1'|b'\xde\xacv\xe0\xc2\xc95\x11\xae\x91\xd8\xf9'|1110|42|1068|52|976|1028|10|2430|1028
1743262327.408936|3461344040|2744908|b'\x9a\x87\x90*\x92,\xf8\x81Z\x06-l\xe2\xea\x0c\xbd'|b'\xb6\xbaZ\x94\xe1`=\xef\xfe\xa1Q\xbe'|134|42|92|52|0|52|10|2431|52
1743262327.417689|3461344040|2744909|b'\xf0\x13u\x89\xbe\x17\xbb\x8b\x963\xea\xa3\xf1\xce&\xf2'|b'\xe1L\x15\x05G\xac\xe3\xe0\xb53;`'|374|42|332|52|249|301|1|2432|301
