Traffic,Field,MAE,RMSE
web,plaintext_header_length,4.481159502027418,9.648856561534837
web,padding_length,1.9062181649546246,3.387355242273366
ftp,plaintext_header_length,0.038281733489992725,0.12393363231103663
ftp,padding_length,0.4366583511083672,2.0799089407053164
im,plaintext_header_length,0.12978197005208333,0.2392423228638777
im,padding_length,2.289519417439052,3.841756909729401
